artist,songs,popularity,link,genre
Queens Of The Stone Age,106,1.4,/queens-of-the-stone-age/,Rock
R.E.M.,250,6.8,/r-e-m/,Rock
Rage Against The Machine,67,1.5,/rage-against-the-machine/,Rock
Rammstein,161,24,/rammstein/,Rock
Ramones,213,3,/the-ramones/,Rock
Rapeize,8,0,/rapeize/,Rock
Rascal Experience,14,0,/rascal-experience/,Rock
Raul Seixas,215,14,/raul-seixas/,Rock
Red,74,2.3,/red/,Rock
Red Light DC,8,0,/red-light-dc/,Rock
Reduto,16,0,/reduto/,Rock
Renato Russo,61,6.2,/renato-russo/,Rock
Revolṳ̣o (Rock),30,0,/revolucao-rock/,Rock
Revolverheld,64,0.1,/revolverheld/,Rock
Rezet,23,0,/banda-rezet/,Rock
Rhino Head,1,0,/rhino-head/,Rock
Richard Thompson/ Richard And Linda Thompson,271,0,/richard-thompson/,Rock
Richie Sambora,43,0,/sambora-richie/,Rock
Rick Rock,4,0,/rick-rock/,Rock
Rising Heart,1,0,/rising-heart/,Rock
Rita Lee,297,7.6,/rita-lee/,Rock
Ritchie Valens,13,1.1,/ritchie-valens/,Rock
Riviera,8,0,/riviera/,Rock
Rod Stewart,438,12.2,/rod-stewart/,Rock
Rodox,29,0.7,/rodox/,Rock
Rodrigo Lamore,9,0,/rodrigo-lamore/,Rock
Rollercoaster Band,8,0,/rollercoaster-band/,Rock
Roxette,207,9.7,/roxette/,Pop
RPM,64,1.9,/rpm/,Rock
Ryan Adams,209,0.3,/ryan-adams/,Rock
Santana,259,1.9,/santana/,Rock
Sarah McLachlan,128,1.1,/sarah-mclachlan/,Rock
Saul,8,0,/saul/,Rock
Scars On Broadway,25,0.2,/scars-on-broadway/,Rock
Scorpions,252,29.1,/scorpions/,Rock
Scott Stapp,28,0.1,/scott-stapp/,Rock
Seether,109,1.9,/seether/,Rock
Septembre,6,0,/septembre/,Rock
Sheena Ye,19,0,/sheena-ye/,Rock
Sheryl Crow,139,0.7,/sheryl-crow/,Rock
Shinedown,85,0.5,/shinedown/,Rock
Silverchair,91,1.6,/silverchair/,Rock
Sixx: A.M.,59,0,/sixx-a-m/,Rock
Slade,196,0.5,/slade/,Rock
Slash,93,1,/slashs-snakepit/,Rock
Small Faces,45,0,/small-faces/,Rock
Solar,13,0.1,/solar/,Rock
Sonic Youth,226,0.2,/sonic-youth/,Rock
Soul Asylum,132,0.7,/soul-asylum/,Rock
Souls of Rage,6,0,/souls-of-rage/,Rock
Sound Of June,4,0,/sound-of-june/,Rock
Soundgarden,120,1,/soundgarden/,Rock
SPY,13,0,/spy/,Rock
Sr. Bamba,25,0,/sr-bamba/,Hip Hop
Staind,97,0.7,/staind/,Rock
Stereophonics,158,0.6,/stereophonics/,Rock
Steve Earle,239,0.1,/steve-earle/,Rock
Steven Tyler,23,0.2,/steven-tyler/,Rock
Stevie Nicks,123,0.4,/stevie-nicks/,Rock
Stone Breeze,9,0,/stone-breeze/,Rock
Stone Sour,125,1.7,/stone-sour/,Rock
Suite7,12,0,/suite7/,Pop
Sunny9,2,0,/sunny9/,Rock
Ted Nugent,27,0.1,/ted-nugent/,Rock
Tenacious D,93,0.4,/tenacious-d/,Rock
Teoria do Caos,11,0,/teoria-do-caos/,Rock
The Animals,104,2,/the-animals/,Rock
The Automatic,35,0,/the-automatic/,Rock
The Band,187,0.2,/the-band/,Rock
The Beatles,335,42.9,/the-beatles/,Rock
The Byrds,146,0.2,/the-byrds/,Rock
The Cramps,92,0,/cramps/,Rock
The Cult,136,0.7,/the-cult/,Rock
The Dead Weather,33,0,/the-dead-weather/,Rock
The Donnas,124,0.1,/the-donnas/,Rock
The Ed Sons,8,0,/the-ed-sons/,Rock
The Faces,45,0,/faces/,Rock
The Gathering,113,0.1,/the-gathering/,Rock
"The Good, The Bad & The Queen",14,0,/the-good-the-bad-the-queen/,Rock
The Hives,89,0.1,/the-hives/,Rock
The Jesus and Mary Chain,138,0.2,/the-jesus-and-mary-chain/,Rock
The Kooks,123,1.7,/the-kooks/,Rock
The Lemonheads,125,0.1,/the-lemonheads/,Rock
The Melties,6,0,/the-melties/,Rock
The Million Dollar Quartet,7,0,/the-million-dollar-quartet/,Rock
The Monks,11,0,/monks/,Rock
The Panic Channel,13,0,/the-panic-channel/,Rock
The Police,65,8.2,/the-police/,Rock
The Portinaris,11,0,/the-portinaris/,Rock
The Rasmus,118,0.4,/the-rasmus/,Rock
The Red Jumpsuit Apparatus,84,0.1,/the-red-jumpsuit-apparatus/,Rock
The Stone Roses,53,0.1,/the-stone-roses/,Rock
The Trashmen,6,0,/the-trashmen/,Rock
The Verve,75,1.9,/the-verve/,Rock
The Vines,84,0,/the-vines/,Rock
The Who,236,2.2,/the-who/,Rock
Theoria Din̢mica,5,0,/theoria-dinamica/,Rock
Theory Of A Deadman,87,1.7,/theory-of-a-deadman/,Rock
